start	end	start_prox	end_prox	chrom	start_orig	end_orig	value	mid	absmid
29584	29827.0	1800000.0	1800000.0	chr8	1829584	1829827	0.0240768	29705.5	29705.5
29827	34329.0	1800000.0	1800000.0	chr8	1829827	1834329	0.00284061	32078.0	32078.0
34329	34710.0	1800000.0	1800000.0	chr8	1834329	1834710	3.98212e-09	34519.5	34519.5
34710	37098.0	1800000.0	1800000.0	chr8	1834710	1837098	0.353969	35904.0	35904.0
37098	41191.0	1800000.0	1800000.0	chr8	1837098	1841191	1.6671	39144.5	39144.5
41191	41461.0	1800000.0	1800000.0	chr8	1841191	1841461	0.332361	41326.0	41326.0
41461	41653.0	1800000.0	1800000.0	chr8	1841461	1841653	0.857593	41557.0	41557.0
41653	41678.0	1800000.0	1800000.0	chr8	1841653	1841678	2.96981	41665.5	41665.5
41678	42301.0	1800000.0	1800000.0	chr8	1841678	1842301	0.175783	41989.5	41989.5
42301	43267.0	1800000.0	1800000.0	chr8	1842301	1843267	0.89349	42784.0	42784.0
43267	54222.0	1800000.0	1800000.0	chr8	1843267	1854222	0.141625	48744.5	48744.5
54222	54568.0	1800000.0	1800000.0	chr8	1854222	1854568	0.00477386	54395.0	54395.0
54568	55257.0	1800000.0	1800000.0	chr8	1854568	1855257	0.0160016	54912.5	54912.5
55257	55753.0	1800000.0	1800000.0	chr8	1855257	1855753	0.0747378	55505.0	55505.0
55753	56222.0	1800000.0	1800000.0	chr8	1855753	1856222	0.695516	55987.5	55987.5
56222	57883.0	1800000.0	1800000.0	chr8	1856222	1857883	2.00227	57052.5	57052.5
57883	58293.0	1800000.0	1800000.0	chr8	1857883	1858293	2.12034	58088.0	58088.0
58293	60821.0	1800000.0	1800000.0	chr8	1858293	1860821	0.196705	59557.0	59557.0
60821	61130.0	1800000.0	1800000.0	chr8	1860821	1861130	0.0587464	60975.5	60975.5
61130	61407.0	1800000.0	1800000.0	chr8	1861130	1861407	0.0148275	61268.5	61268.5
61407	63887.0	1800000.0	1800000.0	chr8	1861407	1863887	0.0078459	62647.0	62647.0
63887	69201.0	1800000.0	1800000.0	chr8	1863887	1869201	0.00810727	66544.0	66544.0
69201	69795.0	1800000.0	1800000.0	chr8	1869201	1869795	2.51927e-11	69498.0	69498.0
69795	70290.0	1800000.0	1800000.0	chr8	1869795	1870290	0.193967	70042.5	70042.5
70290	70409.0	1800000.0	1800000.0	chr8	1870290	1870409	1.49799	70349.5	70349.5
70409	72490.0	1800000.0	1800000.0	chr8	1870409	1872490	2.15335e-11	71449.5	71449.5
72490	73350.0	1800000.0	1800000.0	chr8	1872490	1873350	0.000181588	72920.0	72920.0
73350	73400.0	1800000.0	1800000.0	chr8	1873350	1873400	0.00484156	73375.0	73375.0
73400	73789.0	1800000.0	1800000.0	chr8	1873400	1873789	0.0274668	73594.5	73594.5
73789	73938.0	1800000.0	1800000.0	chr8	1873789	1873938	2.55334	73863.5	73863.5
73938	74068.0	1800000.0	1800000.0	chr8	1873938	1874068	5.40244	74003.0	74003.0
74068	74098.0	1800000.0	1800000.0	chr8	1874068	1874098	2.02292	74083.0	74083.0
74098	74101.0	1800000.0	1800000.0	chr8	1874098	1874101	8.06303	74099.5	74099.5
74101	74273.0	1800000.0	1800000.0	chr8	1874101	1874273	21.0092	74187.0	74187.0
74273	74285.0	1800000.0	1800000.0	chr8	1874273	1874285	1.7897	74279.0	74279.0
74285	74473.0	1800000.0	1800000.0	chr8	1874285	1874473	0.285394	74379.0	74379.0
74473	74547.0	1800000.0	1800000.0	chr8	1874473	1874547	54.0089	74510.0	74510.0
74547	75315.0	1800000.0	1800000.0	chr8	1874547	1875315	1.34569	74931.0	74931.0
75315	75455.0	1800000.0	1800000.0	chr8	1875315	1875455	4.481	75385.0	75385.0
75455	75493.0	1800000.0	1800000.0	chr8	1875455	1875493	1.14825	75474.0	75474.0
75493	75929.0	1800000.0	1800000.0	chr8	1875493	1875929	0.613516	75711.0	75711.0
75929	78765.0	1800000.0	1800000.0	chr8	1875929	1878765	0.000911851	77347.0	77347.0
78765	81229.0	1800000.0	1800000.0	chr8	1878765	1881229	0.885642	79997.0	79997.0
81229	84069.0	1800000.0	1800000.0	chr8	1881229	1884069	0.000911851	82649.0	82649.0
84069	84350.0	1800000.0	1800000.0	chr8	1884069	1884350	0.532537	84209.5	84209.5
84350	84678.0	1800000.0	1800000.0	chr8	1884350	1884678	7.33523	84514.0	84514.0
84678	84916.0	1800000.0	1800000.0	chr8	1884678	1884916	0.335786	84797.0	84797.0
84916	85824.0	1800000.0	1800000.0	chr8	1884916	1885824	0.510187	85370.0	85370.0
85824	87074.0	1800000.0	1800000.0	chr8	1885824	1887074	0.00815862	86449.0	86449.0
87074	87200.0	1800000.0	1800000.0	chr8	1887074	1887200	0.0231674	87137.0	87137.0
87200	89935.0	1800000.0	1800000.0	chr8	1887200	1889935	0.727684	88567.5	88567.5
89935	91807.0	1800000.0	1800000.0	chr8	1889935	1891807	0.220358	90871.0	90871.0
91807	92531.0	1800000.0	1800000.0	chr8	1891807	1892531	0.000555699	92169.0	92169.0
92531	94806.0	1800000.0	1800000.0	chr8	1892531	1894806	0.00220399	93668.5	93668.5
94806	94925.0	1800000.0	1800000.0	chr8	1894806	1894925	1.52742e-43	94865.5	94865.5
94925	95746.0	1800000.0	1800000.0	chr8	1894925	1895746	3.12146e-24	95335.5	95335.5
95746	97844.0	1800000.0	1800000.0	chr8	1895746	1897844	3.1309800000000003e-24	96795.0	96795.0
97844	98130.0	1800000.0	1800000.0	chr8	1897844	1898130	1.35016e-25	97987.0	97987.0
98130	98202.0	1800000.0	1800000.0	chr8	1898130	1898202	5.49976e-25	98166.0	98166.0
98202	98396.0	1800000.0	1800000.0	chr8	1898202	1898396	1.54023e-22	98299.0	98299.0
98396	98522.0	1800000.0	1800000.0	chr8	1898396	1898522	3.03605e-10	98459.0	98459.0
98522	99398.0	1800000.0	1800000.0	chr8	1898522	1899398	2.82602e-09	98960.0	98960.0
99398	100487.0	1800000.0	1800000.0	chr8	1899398	1900487	1.6721e-09	99942.5	99942.5
100487	100694.0	1800000.0	1800000.0	chr8	1900487	1900694	0.976227	100590.5	100590.5
100694	100761.0	1800000.0	1800000.0	chr8	1900694	1900761	14.4257	100727.5	100727.5
100761	100961.0	1800000.0	1800000.0	chr8	1900761	1900961	11.571	100861.0	100861.0
100961	101109.0	1800000.0	1800000.0	chr8	1900961	1901109	2.58433	101035.0	101035.0
101109	101232.0	1800000.0	1800000.0	chr8	1901109	1901232	5.52523	101170.5	101170.5
101232	101324.0	1800000.0	1800000.0	chr8	1901232	1901324	0.0309139	101278.0	101278.0
101324	101354.0	1800000.0	1800000.0	chr8	1901324	1901354	0.589189	101339.0	101339.0
101354	101364.0	1800000.0	1800000.0	chr8	1901354	1901364	4.57249	101359.0	101359.0
101364	101366.0	1800000.0	1800000.0	chr8	1901364	1901366	142.074	101365.0	101365.0
101366	101570.0	1800000.0	1800000.0	chr8	1901366	1901570	3.89817	101468.0	101468.0
101570	101655.0	1800000.0	1800000.0	chr8	1901570	1901655	0.618487	101612.5	101612.5
101655	101716.0	1800000.0	1800000.0	chr8	1901655	1901716	1.4409	101685.5	101685.5
101716	102049.0	1800000.0	1800000.0	chr8	1901716	1902049	0.286209	101882.5	101882.5
102049	102393.0	1800000.0	1800000.0	chr8	1902049	1902393	0.133837	102221.0	102221.0
102393	102456.0	1800000.0	1800000.0	chr8	1902393	1902456	2.32872	102424.5	102424.5
102456	102831.0	1800000.0	1800000.0	chr8	1902456	1902831	0.539218	102643.5	102643.5
102831	104259.0	1800000.0	1800000.0	chr8	1902831	1904259	0.0387654	103545.0	103545.0
104259	105088.0	1800000.0	1800000.0	chr8	1904259	1905088	1.25074	104673.5	104673.5
105088	108478.0	1800000.0	1800000.0	chr8	1905088	1908478	0.0399224	106783.0	106783.0
108478	108808.0	1800000.0	1800000.0	chr8	1908478	1908808	3.46161	108643.0	108643.0
108808	109127.0	1800000.0	1800000.0	chr8	1908808	1909127	11.1839	108967.5	108967.5
109127	109201.0	1800000.0	1800000.0	chr8	1909127	1909201	5.770910000000001e-19	109164.0	109164.0
109201	109483.0	1800000.0	1800000.0	chr8	1909201	1909483	0.0808787	109342.0	109342.0
109483	110893.0	1800000.0	1800000.0	chr8	1909483	1910893	0.000181742	110188.0	110188.0
110893	111082.0	1800000.0	1800000.0	chr8	1910893	1911082	0.000565812	110987.5	110987.5
111082	112034.0	1800000.0	1800000.0	chr8	1911082	1912034	0.00174681	111558.0	111558.0
112034	112169.0	1800000.0	1800000.0	chr8	1912034	1912169	0.392581	112101.5	112101.5
112169	113081.0	1800000.0	1800000.0	chr8	1912169	1913081	0.764011	112625.0	112625.0
113081	113805.0	1800000.0	1800000.0	chr8	1913081	1913805	0.17246	113443.0	113443.0
113805	116666.0	1800000.0	1800000.0	chr8	1913805	1916666	0.409775	115235.5	115235.5
116666	117039.0	1800000.0	1800000.0	chr8	1916666	1917039	1.34935	116852.5	116852.5
117039	117721.0	1800000.0	1800000.0	chr8	1917039	1917721	0.00789304	117380.0	117380.0
117721	118630.0	1800000.0	1800000.0	chr8	1917721	1918630	1.2686299999999998e-20	118175.5	118175.5
118630	119644.0	1800000.0	1800000.0	chr8	1918630	1919644	0.348772	119137.0	119137.0
119644	120247.0	1800000.0	1800000.0	chr8	1919644	1920247	0.739681	119945.5	119945.5
120247	120441.0	1800000.0	1800000.0	chr8	1920247	1920441	60.0059	120344.0	120344.0
120441	120473.0	1800000.0	1800000.0	chr8	1920441	1920473	22.963	120457.0	120457.0
120473	120676.0	1800000.0	1800000.0	chr8	1920473	1920676	8.25477	120574.5	120574.5
120676	121006.0	1800000.0	1800000.0	chr8	1920676	1921006	24.6474	120841.0	120841.0
121006	121457.0	1800000.0	1800000.0	chr8	1921006	1921457	7.66487	121231.5	121231.5
121457	121702.0	1800000.0	1800000.0	chr8	1921457	1921702	3.7437	121579.5	121579.5
121702	121822.0	1800000.0	1800000.0	chr8	1921702	1921822	0.0005056	121762.0	121762.0
121822	122568.0	1800000.0	1800000.0	chr8	1921822	1922568	3.76088e-05	122195.0	122195.0
122568	122790.0	1800000.0	1800000.0	chr8	1922568	1922790	0.618727	122679.0	122679.0
122790	122826.0	1800000.0	1800000.0	chr8	1922790	1922826	0.00481218	122808.0	122808.0
122826	122948.0	1800000.0	1800000.0	chr8	1922826	1922948	0.00427659	122887.0	122887.0
122948	123730.0	1800000.0	1800000.0	chr8	1922948	1923730	0.000648429	123339.0	123339.0
123730	124329.0	1800000.0	1800000.0	chr8	1923730	1924329	0.000189451	124029.5	124029.5
124329	125374.0	1800000.0	1800000.0	chr8	1924329	1925374	0.000170622	124851.5	124851.5
125374	126566.0	1800000.0	1800000.0	chr8	1925374	1926566	0.275505	125970.0	125970.0
126566	127819.0	1800000.0	1800000.0	chr8	1926566	1927819	0.015235	127192.5	127192.5
127819	127855.0	1800000.0	1800000.0	chr8	1927819	1927855	0.00990124	127837.0	127837.0
127855	128465.0	1800000.0	1800000.0	chr8	1927855	1928465	5.79233	128160.0	128160.0
128465	129314.0	1800000.0	1800000.0	chr8	1928465	1929314	1.15615e-05	128889.5	128889.5
129314	131398.0	1800000.0	1800000.0	chr8	1929314	1931398	0.000148933	130356.0	130356.0
131398	132364.0	1800000.0	1800000.0	chr8	1931398	1932364	0.00127205	131881.0	131881.0
132364	134086.0	1800000.0	1800000.0	chr8	1932364	1934086	0.21304	133225.0	133225.0
134086	134277.0	1800000.0	1800000.0	chr8	1934086	1934277	1.55052	134181.5	134181.5
134277	134801.0	1800000.0	1800000.0	chr8	1934277	1934801	6.617	134539.0	134539.0
134801	135012.0	1800000.0	1800000.0	chr8	1934801	1935012	3.31249	134906.5	134906.5
135012	135077.0	1800000.0	1800000.0	chr8	1935012	1935077	16.7487	135044.5	135044.5
135077	135186.0	1800000.0	1800000.0	chr8	1935077	1935186	107.472	135131.5	135131.5
135186	135546.0	1800000.0	1800000.0	chr8	1935186	1935546	25.9596	135366.0	135366.0
135546	136673.0	1800000.0	1800000.0	chr8	1935546	1936673	3.11734	136109.5	136109.5
136673	136957.0	1800000.0	1800000.0	chr8	1936673	1936957	0.248047	136815.0	136815.0
136957	138474.0	1800000.0	1800000.0	chr8	1936957	1938474	0.0606581	137715.5	137715.5
138474	138657.0	1800000.0	1800000.0	chr8	1938474	1938657	2.08515e-05	138565.5	138565.5
138657	140281.0	1800000.0	1800000.0	chr8	1938657	1940281	1.40759e-06	139469.0	139469.0
140281	142229.0	1800000.0	1800000.0	chr8	1940281	1942229	2.42551e-12	141255.0	141255.0
142229	142367.0	1800000.0	1800000.0	chr8	1942229	1942367	0.275986	142298.0	142298.0
142367	144676.0	1800000.0	1800000.0	chr8	1942367	1944676	0.239641	143521.5	143521.5
144676	144839.0	1800000.0	1800000.0	chr8	1944676	1944839	0.372231	144757.5	144757.5
144839	146074.0	1800000.0	1800000.0	chr8	1944839	1946074	3.78555	145456.5	145456.5
146074	146471.0	1800000.0	1800000.0	chr8	1946074	1946471	0.372231	146272.5	146272.5
146471	146592.0	1800000.0	1800000.0	chr8	1946471	1946592	5.48911	146531.5	146531.5
146592	147768.0	1800000.0	1800000.0	chr8	1946592	1947768	0.045811	147180.0	147180.0
147768	149083.0	1800000.0	1800000.0	chr8	1947768	1949083	0.0174869	148425.5	148425.5
149083	149491.0	1800000.0	1800000.0	chr8	1949083	1949491	6.27923	149287.0	149287.0
149491	149561.0	1800000.0	1800000.0	chr8	1949491	1949561	0.00294759	149526.0	149526.0
149561	150381.0	1800000.0	1800000.0	chr8	1949561	1950381	0.0794285	149971.0	149971.0
150381	151525.0	1800000.0	1800000.0	chr8	1950381	1951525	0.0208113	150953.0	150953.0
151525	152204.0	1800000.0	1800000.0	chr8	1951525	1952204	3.71692	151864.5	151864.5
152204	152244.0	1800000.0	1800000.0	chr8	1952204	1952244	0.0408894	152224.0	152224.0
152244	153764.0	1800000.0	1800000.0	chr8	1952244	1953764	0.00803443	153004.0	153004.0
153764	155991.0	1800000.0	1800000.0	chr8	1953764	1955991	0.0170263	154877.5	154877.5
155991	156098.0	1800000.0	1800000.0	chr8	1955991	1956098	1.13237e-26	156044.5	156044.5
156098	156966.0	1800000.0	1800000.0	chr8	1956098	1956966	0.0267985	156532.0	156532.0
156966	157657.0	1800000.0	1800000.0	chr8	1956966	1957657	0.0147786	157311.5	157311.5
157657	158464.0	1800000.0	1800000.0	chr8	1957657	1958464	5.18018	158060.5	158060.5
158464	158543.0	1800000.0	1800000.0	chr8	1958464	1958543	8.152e-07	158503.5	158503.5
158543	159689.0	1800000.0	1800000.0	chr8	1958543	1959689	9.19773e-07	159116.0	159116.0
159689	159886.0	1800000.0	1800000.0	chr8	1959689	1959886	1.09493e-06	159787.5	159787.5
159886	162492.0	1800000.0	1800000.0	chr8	1959886	1962492	0.495744	161189.0	161189.0
162492	162597.0	1800000.0	1800000.0	chr8	1962492	1962597	0.922441	162544.5	162544.5
162597	162772.0	1800000.0	1800000.0	chr8	1962597	1962772	96.6687	162684.5	162684.5
162772	163227.0	1800000.0	1800000.0	chr8	1962772	1963227	0.179179	162999.5	162999.5
163227	164968.0	1800000.0	1800000.0	chr8	1963227	1964968	1.28331	164097.5	164097.5
164968	166478.0	1800000.0	1800000.0	chr8	1964968	1966478	0.231173	165723.0	165723.0
166478	166586.0	1800000.0	1800000.0	chr8	1966478	1966586	41.0072	166532.0	166532.0
166586	167930.0	1800000.0	1800000.0	chr8	1966586	1967930	5.51604	167258.0	167258.0
167930	167978.0	1800000.0	1800000.0	chr8	1967930	1967978	1.43374	167954.0	167954.0
167978	168181.0	1800000.0	1800000.0	chr8	1967978	1968181	0.00190135	168079.5	168079.5
168181	168333.0	1800000.0	1800000.0	chr8	1968181	1968333	4.70082e-08	168257.0	168257.0
168333	170186.0	1800000.0	1800000.0	chr8	1968333	1970186	0.0364412	169259.5	169259.5
170186	170881.0	1800000.0	1800000.0	chr8	1970186	1970881	20.6307	170533.5	170533.5
170881	172994.0	1800000.0	1800000.0	chr8	1970881	1972994	1.32052	171937.5	171937.5
172994	173262.0	1800000.0	1800000.0	chr8	1972994	1973262	0.0265501	173128.0	173128.0
173262	173621.0	1800000.0	1800000.0	chr8	1973262	1973621	1.62913	173441.5	173441.5
173621	174367.0	1800000.0	1800000.0	chr8	1973621	1974367	3.52635	173994.0	173994.0
174367	177590.0	1800000.0	1800000.0	chr8	1974367	1977590	1.56298	175978.5	175978.5
177590	178792.0	1800000.0	1800000.0	chr8	1977590	1978792	0.329256	178191.0	178191.0
178792	182407.0	1800000.0	1800000.0	chr8	1978792	1982407	0.0278889	180599.5	180599.5
182407	183106.0	1800000.0	1800000.0	chr8	1982407	1983106	0.372789	182756.5	182756.5
183106	183224.0	1800000.0	1800000.0	chr8	1983106	1983224	7.82753	183165.0	183165.0
183224	183774.0	1800000.0	1800000.0	chr8	1983224	1983774	17.1471	183499.0	183499.0
183774	188306.0	1800000.0	1800000.0	chr8	1983774	1988306	0.261741	186040.0	186040.0
188306	189120.0	1800000.0	1800000.0	chr8	1988306	1989120	0.0256964	188713.0	188713.0
189120	191391.0	1800000.0	1800000.0	chr8	1989120	1991391	0.00926025	190255.5	190255.5
191391	198152.0	1800000.0	1800000.0	chr8	1991391	1998152	0.290179	194771.5	194771.5
198152	199251.0	1800000.0	1800000.0	chr8	1998152	1999251	1.2379	198701.5	198701.5
199251	199772.0	1800000.0	1800000.0	chr8	1999251	1999772	0.896938	199511.5	199511.5
199772	200750.0	1800000.0	1800000.0	chr8	1999772	2000750	0.0675091	200261.0	200261.0
200750	200960.0	1800000.0	1800000.0	chr8	2000750	2000960	0.164885	200855.0	200855.0
200960	204876.0	1800000.0	1800000.0	chr8	2000960	2004876	1.30489	202918.0	202918.0
204876	205028.0	1800000.0	1800000.0	chr8	2004876	2005028	0.00645315	204952.0	204952.0
205028	205057.0	1800000.0	1800000.0	chr8	2005028	2005057	4.43392e-27	205042.5	205042.5
205057	205401.0	1800000.0	1800000.0	chr8	2005057	2005401	2.23377e-33	205229.0	205229.0
205401	205714.0	1800000.0	1800000.0	chr8	2005401	2005714	8.79723e-09	205557.5	205557.5
205714	205946.0	1800000.0	1800000.0	chr8	2005714	2005946	6.71533e-08	205830.0	205830.0
205946	206421.0	1800000.0	1800000.0	chr8	2005946	2006421	1.17659e-07	206183.5	206183.5
206421	206646.0	1800000.0	1800000.0	chr8	2006421	2006646	1.84022e-07	206533.5	206533.5
206646	207117.0	1800000.0	1800000.0	chr8	2006646	2007117	0.00691302	206881.5	206881.5
207117	207227.0	1800000.0	1800000.0	chr8	2007117	2007227	0.0153392	207172.0	207172.0
207227	208149.0	1800000.0	1800000.0	chr8	2007227	2008149	0.0660099	207688.0	207688.0
208149	208786.0	1800000.0	1800000.0	chr8	2008149	2008786	7.99455	208467.5	208467.5
208786	208871.0	1800000.0	1800000.0	chr8	2008786	2008871	70.3224	208828.5	208828.5
208871	209004.0	1800000.0	1800000.0	chr8	2008871	2009004	0.281161	208937.5	208937.5
209004	209055.0	1800000.0	1800000.0	chr8	2009004	2009055	1.10029	209029.5	209029.5
209055	209082.0	1800000.0	1800000.0	chr8	2009055	2009082	4.11824	209068.5	209068.5
209082	209835.0	1800000.0	1800000.0	chr8	2009082	2009835	7.42069	209458.5	209458.5
209835	210424.0	1800000.0	1800000.0	chr8	2009835	2010424	33.9168	210129.5	210129.5
210424	210689.0	1800000.0	1800000.0	chr8	2010424	2010689	10.0298	210556.5	210556.5
210689	210699.0	1800000.0	1800000.0	chr8	2010689	2010699	324.029	210694.0	210694.0
210699	210825.0	1800000.0	1800000.0	chr8	2010699	2010825	17.5651	210762.0	210762.0
210825	210902.0	1800000.0	1800000.0	chr8	2010825	2010902	8.74799	210863.5	210863.5
210902	211012.0	1800000.0	1800000.0	chr8	2010902	2011012	69.9729	210957.0	210957.0
211012	211170.0	1800000.0	1800000.0	chr8	2011012	2011170	24.9037	211091.0	211091.0
211170	211294.0	1800000.0	1800000.0	chr8	2011170	2011294	45.7027	211232.0	211232.0
211294	211435.0	1800000.0	1800000.0	chr8	2011294	2011435	25.9196	211364.5	211364.5
211435	211665.0	1800000.0	1800000.0	chr8	2011435	2011665	2.88333	211550.0	211550.0
211665	212034.0	1800000.0	1800000.0	chr8	2011665	2012034	24.3112	211849.5	211849.5
212034	212090.0	1800000.0	1800000.0	chr8	2012034	2012090	125.549	212062.0	212062.0
212090	212577.0	1800000.0	1800000.0	chr8	2012090	2012577	9.47184	212333.5	212333.5
212577	213557.0	1800000.0	1800000.0	chr8	2012577	2013557	0.353156	213067.0	213067.0
213557	214563.0	1800000.0	1800000.0	chr8	2013557	2014563	0.095819	214060.0	214060.0
214563	214628.0	1800000.0	1800000.0	chr8	2014563	2014628	0.00277251	214595.5	214595.5
214628	215255.0	1800000.0	1800000.0	chr8	2014628	2015255	0.000966228	214941.5	214941.5
215255	216646.0	1800000.0	1800000.0	chr8	2015255	2016646	0.000323743	215950.5	215950.5
216646	218010.0	1800000.0	1800000.0	chr8	2016646	2018010	0.000152919	217328.0	217328.0
218010	218677.0	1800000.0	1800000.0	chr8	2018010	2018677	8.41216e-05	218343.5	218343.5
218677	219219.0	1800000.0	1800000.0	chr8	2018677	2019219	4.81155	218948.0	218948.0
219219	219763.0	1800000.0	1800000.0	chr8	2019219	2019763	2.8666	219491.0	219491.0
219763	219843.0	1800000.0	1800000.0	chr8	2019763	2019843	0.422949	219803.0	219803.0
219843	219967.0	1800000.0	1800000.0	chr8	2019843	2019967	2.31932e-16	219905.0	219905.0
219967	220976.0	1800000.0	1800000.0	chr8	2019967	2020976	3.17314	220471.5	220471.5
220976	221565.0	1800000.0	1800000.0	chr8	2020976	2021565	8.90659	221270.5	221270.5
221565	223138.0	1800000.0	1800000.0	chr8	2021565	2023138	1.52755	222351.5	222351.5
223138	223524.0	1800000.0	1800000.0	chr8	2023138	2023524	25.0373	223331.0	223331.0
223524	223783.0	1800000.0	1800000.0	chr8	2023524	2023783	0.713762	223653.5	223653.5
223783	223955.0	1800000.0	1800000.0	chr8	2023783	2023955	51.6506	223869.0	223869.0
223955	224028.0	1800000.0	1800000.0	chr8	2023955	2024028	14.2588	223991.5	223991.5
224028	224047.0	1800000.0	1800000.0	chr8	2024028	2024047	17.2956	224037.5	224037.5
224047	224662.0	1800000.0	1800000.0	chr8	2024047	2024662	2.27978	224354.5	224354.5
224662	226880.0	1800000.0	1800000.0	chr8	2024662	2026880	0.0300839	225771.0	225771.0
226880	227799.0	1800000.0	1800000.0	chr8	2026880	2027799	0.021431	227339.5	227339.5
227799	229238.0	1800000.0	1800000.0	chr8	2027799	2029238	0.020385	228518.5	228518.5
229238	229704.0	1800000.0	1800000.0	chr8	2029238	2029704	0.0672156	229471.0	229471.0
229704	231744.0	1800000.0	1800000.0	chr8	2029704	2031744	1.03444	230724.0	230724.0
231744	234484.0	1800000.0	1800000.0	chr8	2031744	2034484	0.0672156	233114.0	233114.0
234484	235181.0	1800000.0	1800000.0	chr8	2034484	2035181	4.79617	234832.5	234832.5
235181	235440.0	1800000.0	1800000.0	chr8	2035181	2035440	0.0672156	235310.5	235310.5
235440	239565.0	1800000.0	1800000.0	chr8	2035440	2039565	2.14333e-17	237502.5	237502.5
